Unix Time,Clouds,Dew Point,Feels Like,Humidity,Pressure,Snowfall,Temp,Visibility,Wind Speed,Elevation
1700760507.0,0.0,22.23,28.35,75.0,1012.0,0.0,28.35,10000.0,0.0,1850.9482421875
1700846907.0,100.0,11.8,12.97,73.0,1013.0,0.0,18.21,10000.0,3.44,1850.9482421875
1700933307.0,100.0,5.36,14.9,62.0,1021.0,0.0,14.9,10000.0,0.0,1850.9482421875
1701019707.0,100.0,6.53,13.93,69.0,1026.0,0.0,13.93,10000.0,0.0,1850.9482421875
1701106107.0,100.0,6.55,11.73,77.0,1029.0,0.0,11.73,10000.0,0.0,1850.9482421875
1701192507.0,0.0,9.82,15.35,76.0,1029.0,0.0,15.35,10000.0,0.0,1850.9482421875
1701278907.0,0.0,10.15,14.65,80.0,1017.0,0.0,14.65,10000.0,0.0,1850.9482421875
1701370800.0,85.0,10.26,11.91,68.0,1010.0,0.0,18.09,10000.0,4.94,1850.9482421875
1701457200.0,100.0,19.69,10.62,82.0,1011.0,4.92,18.07,10000.0,5.99,1850.9482421875
1701543600.0,100.0,19.89,6.22,90.0,1021.0,10.46,16.14,10000.0,8.84,1850.9482421875
1701630000.0,100.0,27.46,14.97,98.0,1025.0,10.61,21.61,10000.0,5.08,1850.9482421875
1701716400.0,93.0,30.09,24.33,98.0,1025.0,1.07,24.33,10000.0,2.64,1850.9482421875
1701802800.0,4.0,29.79,25.74,91.0,1029.0,0.0,25.74,10000.0,1.97,1850.9482421875
1701889200.0,0.0,32.14,29.25,88.0,1025.0,0.0,29.25,10000.0,2.55,1850.9482421875
1701975600.0,83.0,29.41,26.44,76.0,1017.0,0.0,30.56,10000.0,4.81,1850.9482421875
